zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,county_names_all,county_fips_all
00601,18.18027,-66.75266,Adjuntas,PR,Puerto Rico,16721,100.2,72001,Adjuntas,Adjuntas|Utuado,72001|72141
00602,18.36075,-67.17541,Aguada,PR,Puerto Rico,37510,477.6,72003,Aguada,Aguada,72003
00603,18.45744,-67.12225,Aguadilla,PR,Puerto Rico,48317,543.1,72005,Aguadilla,Aguadilla|Moca,72005|72099
00606,18.16585,-66.93716,Maricao,PR,Puerto Rico,5435,47.3,72093,Maricao,Maricao|Yauco|Sabana Grande,72093|72153|72121
00610,18.2911,-67.12243,Anasco,PR,Puerto Rico,25413,264.4,72011,Anasco,Anasco|Moca|Las Marias|Aguada,72011|72099|72083|72003
00611,18.27698,-66.80688,Angeles,PR,Puerto Rico,1522,55.2,72141,Utuado,Utuado,72141
00612,18.41283,-66.7051,Arecibo,PR,Puerto Rico,62462,316.7,72013,Arecibo,Arecibo|Hatillo|Barceloneta,72013|72065|72017
00616,18.41878,-66.6679,Bajadero,PR,Puerto Rico,9836,348.9,72013,Arecibo,Arecibo,72013
00617,18.44598,-66.56006,Barceloneta,PR,Puerto Rico,22699,477.5,72017,Barceloneta,Barceloneta|Florida,72017|72054
00622,17.98892,-67.1566,Boqueron,PR,Puerto Rico,7950,98.5,72023,Cabo Rojo,Cabo Rojo,72023
00623,18.08429,-67.15336,Cabo Rojo,PR,Puerto Rico,39005,384.2,72023,Cabo Rojo,Cabo Rojo,72023
00624,18.05905,-66.71932,Penuelas,PR,Puerto Rico,21374,175.7,72111,Penuelas,Penuelas|Ponce,72111|72113
00627,18.41905,-66.86037,Camuy,PR,Puerto Rico,32753,272.7,72027,Camuy,Camuy,72027
00631,18.1852,-66.83169,Castaner,PR,Puerto Rico,1357,167.6,72081,Lares,Lares|Adjuntas,72081|72001
00637,18.081,-66.94659,Sabana Grande,PR,Puerto Rico,22884,251.2,72121,Sabana Grande,Sabana Grande|San German|Lajas,72121|72125|72079
00638,18.28462,-66.5137,Ciales,PR,Puerto Rico,17410,94.1,72039,Ciales,Ciales|Orocovis|Manati,72039|72107|72091
00641,18.26742,-66.70212,Utuado,PR,Puerto Rico,23962,110,72141,Utuado,Utuado,72141
00646,18.43251,-66.28429,Dorado,PR,Puerto Rico,36099,662.1,72051,Dorado,Dorado|Vega Alta,72051|72143
00647,17.96667,-66.94266,Ensenada,PR,Puerto Rico,4611,112.6,72055,Guanica,Guanica|Lajas,72055|72079
00650,18.34487,-66.58347,Florida,PR,Puerto Rico,13457,163.8,72054,Florida,Florida|Utuado|Manati|Ciales|Arecibo|Barceloneta,72054|72141|72091|72039|72013|72017
00652,18.45614,-66.60194,Garrochales,PR,Puerto Rico,4492,269.2,72013,Arecibo,Arecibo,72013
00653,17.99413,-66.90266,Guanica,PR,Puerto Rico,8665,151.5,72055,Guanica,Guanica|Sabana Grande,72055|72121
00656,18.04186,-66.79123,Guayanilla,PR,Puerto Rico,17815,163.2,72059,Guayanilla,Guayanilla|Yauco,72059|72153
00659,18.41036,-66.79691,Hatillo,PR,Puerto Rico,37203,349.9,72065,Hatillo,Hatillo,72065
00660,18.13412,-67.11399,Hormigueros,PR,Puerto Rico,15439,526.7,72067,Hormigueros,Hormigueros,72067
00662,18.46622,-67.01508,Isabela,PR,Puerto Rico,40705,380.8,72071,Isabela,Isabela,72071
00664,18.21064,-66.59066,Jayuya,PR,Puerto Rico,14816,121.9,72073,Jayuya,Jayuya|Utuado,72073|72141
00667,18.01246,-67.0417,Lajas,PR,Puerto Rico,23116,148.3,72079,Lajas,Lajas|San German,72079|72125
00669,18.27019,-66.86727,Lares,PR,Puerto Rico,27534,165.8,72081,Lares,Lares|Utuado|Las Marias|San Sebastian,72081|72141|72083|72131
00670,18.23782,-66.98852,Las Marias,PR,Puerto Rico,8553,71,72083,Las Marias,Las Marias|Anasco|Mayaguez|Maricao,72083|72011|72097|72093
00674,18.42229,-66.4891,Manati,PR,Puerto Rico,39288,349.1,72091,Manati,Manati|Vega Baja,72091|72145
00676,18.37897,-67.08098,Moca,PR,Puerto Rico,36836,291.1,72099,Moca,Moca|Aguada,72099|72003
00677,18.33535,-67.23155,Rincon,PR,Puerto Rico,15432,409,72117,Rincon,Rincon|Anasco|Aguada,72117|72011|72003
00678,18.42949,-66.93016,Quebradillas,PR,Puerto Rico,24848,329.2,72115,Quebradillas,Quebradillas|Isabela|San Sebastian,72115|72071|72131
00680,18.16307,-67.36122,Mayaguez,PR,Puerto Rico,42817,257.1,72097,Mayaguez,Mayaguez|San German|Anasco,72097|72125|72011
00682,18.22415,-67.15309,Mayaguez,PR,Puerto Rico,29939,708.7,72097,Mayaguez,Mayaguez|Hormigueros,72097|72067
00683,18.10926,-67.03803,San German,PR,Puerto Rico,29431,230.5,72125,San German,San German,72125
00685,18.33656,-66.97518,San Sebastian,PR,Puerto Rico,40323,197.8,72131,San Sebastian,San Sebastian|Isabela|Moca,72131|72071|72099
00687,18.31707,-66.42029,Morovis,PR,Puerto Rico,28534,283.4,72101,Morovis,Morovis,72101
00688,18.3807,-66.62496,Sabana Hoyos,PR,Puerto Rico,10985,130.5,72013,Arecibo,Arecibo,72013
00690,18.49363,-67.09734,San Antonio,PR,Puerto Rico,6275,1071.5,72005,Aguadilla,Aguadilla,72005
00692,18.40905,-66.33768,Vega Alta,PR,Puerto Rico,32717,476.2,72143,Vega Alta,Vega Alta|Vega Baja,72143|72145
00693,18.42633,-66.39811,Vega Baja,PR,Puerto Rico,55725,484.5,72145,Vega Baja,Vega Baja|Vega Alta|Manati,72145|72143|72091
00694,18.48327,-66.39269,Vega Baja,PR,Puerto Rico,125,60.4,72145,Vega Baja,Vega Baja,72145
00698,18.07274,-66.85519,Yauco,PR,Puerto Rico,32945,203,72153,Yauco,Yauco|Guayanilla,72153|72059
00703,18.24739,-66.13143,Aguas Buenas,PR,Puerto Rico,24642,306.7,72007,Aguas Buenas,Aguas Buenas|Cidra|Comerio,72007|72041|72045
00704,17.97442,-66.22888,Aguirre,PR,Puerto Rico,6433,276.1,72123,Salinas,Salinas|Guayama,72123|72057
00705,18.1294,-66.26653,Aibonito,PR,Puerto Rico,24475,310.8,72009,Aibonito,Aibonito|Coamo,72009|72043
00707,18.01752,-65.92127,Maunabo,PR,Puerto Rico,10400,191.9,72095,Maunabo,Maunabo,72095
00714,17.9981,-66.05635,Arroyo,PR,Puerto Rico,15573,400.8,72015,Arroyo,Arroyo,72015
00715,17.99738,-66.56104,Mercedita,PR,Puerto Rico,2003,60.9,72113,Ponce,Ponce|Juana Diaz,72113|72075
00716,17.99942,-66.59868,Ponce,PR,Puerto Rico,27705,1234.1,72113,Ponce,Ponce,72113
00717,18.00272,-66.61146,Ponce,PR,Puerto Rico,14651,2384,72113,Ponce,Ponce,72113
00718,18.23145,-65.76067,Naguabo,PR,Puerto Rico,23174,189.5,72103,Naguabo,Naguabo|Ceiba,72103|72037
00719,18.28879,-66.25316,Naranjito,PR,Puerto Rico,29732,406.9,72105,Naranjito,Naranjito|Corozal|Comerio|Toa Alta,72105|72047|72045|72135
00720,18.21559,-66.42421,Orocovis,PR,Puerto Rico,20974,144.3,72107,Orocovis,Orocovis|Coamo,72107|72043
00723,18.03139,-66.01122,Patillas,PR,Puerto Rico,15835,132.9,72109,Patillas,Patillas|Maunabo,72109|72095
00725,18.22052,-66.03962,Caguas,PR,Puerto Rico,76246,711.7,72025,Caguas,Caguas|Guaynabo|San Lorenzo|San Juan|Trujillo Alto|Aguas Buenas,72025|72061|72129|72127|72139|72007
00727,18.21142,-66.07374,Caguas,PR,Puerto Rico,53412,914,72025,Caguas,Caguas,72025
00728,18.00697,-66.65995,Ponce,PR,Puerto Rico,37322,935.9,72113,Ponce,Ponce,72113
00729,18.33524,-65.88677,Canovanas,PR,Puerto Rico,47653,514.6,72029,Canovanas,Canovanas|Loiza,72029|72087
00730,18.03256,-66.61384,Ponce,PR,Puerto Rico,31976,1860,72113,Ponce,Ponce,72113
00731,18.09914,-66.63279,Ponce,PR,Puerto Rico,10221,80.6,72113,Ponce,Ponce|Adjuntas,72113|72001
00735,18.2525,-65.67534,Ceiba,PR,Puerto Rico,11159,157.4,72037,Ceiba,Ceiba|Naguabo,72037|72103
00736,18.10736,-66.14994,Cayey,PR,Puerto Rico,45528,320.2,72035,Cayey,Cayey|Cidra,72035|72041
00738,18.31793,-65.66793,Fajardo,PR,Puerto Rico,29797,388.4,72053,Fajardo,Fajardo|Ceiba,72053|72037
00739,18.17543,-66.16198,Cidra,PR,Puerto Rico,34595,434.1,72041,Cidra,Cidra,72041
00740,18.33251,-65.63419,Puerto Real,PR,Puerto Rico,1959,1811.6,72053,Fajardo,Fajardo,72053
00741,18.16569,-65.75506,Punta Santiago,PR,Puerto Rico,3733,633.1,72069,Humacao,Humacao,72069
00745,18.3466,-65.81382,Rio Grande,PR,Puerto Rico,47077,299.2,72119,Rio Grande,Rio Grande|Canovanas,72119|72029
00751,18.01205,-66.25871,Salinas,PR,Puerto Rico,19596,124.6,72123,Salinas,Salinas|Cayey,72123|72035
00754,18.1447,-65.97565,San Lorenzo,PR,Puerto Rico,36822,284.4,72129,San Lorenzo,San Lorenzo,72129
00757,17.9933,-66.39056,Santa Isabel,PR,Puerto Rico,19974,237.8,72133,Santa Isabel,Santa Isabel,72133
00765,18.12365,-65.43013,Vieques,PR,Puerto Rico,8147,66.6,72147,Vieques,Vieques,72147
00766,18.13039,-66.4757,Villalba,PR,Puerto Rico,21829,220.8,72149,Villalba,Villalba|Orocovis,72149|72107
00767,18.07033,-65.89618,Yabucoa,PR,Puerto Rico,30453,213.1,72151,Yabucoa,Yabucoa|Humacao,72151|72069
00769,18.09459,-66.3607,Coamo,PR,Puerto Rico,33953,170.1,72043,Coamo,Coamo|Santa Isabel,72043|72133
00771,18.18797,-65.86916,Las Piedras,PR,Puerto Rico,35165,404.1,72085,Las Piedras,Las Piedras|Humacao,72085|72069
00772,18.43048,-65.90377,Loiza,PR,Puerto Rico,16961,400.7,72087,Loiza,Loiza,72087
00773,18.34073,-65.72756,Luquillo,PR,Puerto Rico,17631,282.5,72089,Luquillo,Luquillo,72089
00775,18.31387,-65.28618,Culebra,PR,Puerto Rico,1281,42.5,72049,Culebra,Culebra,72049
00777,18.22365,-65.90904,Juncos,PR,Puerto Rico,37243,535.5,72077,Juncos,Juncos|San Lorenzo|Las Piedras|Canovanas,72077|72129|72085|72029
00778,18.26319,-65.97938,Gurabo,PR,Puerto Rico,40391,528.2,72063,Gurabo,Gurabo|San Lorenzo,72063|72129
00780,18.09998,-66.57032,Coto Laurel,PR,Puerto Rico,13612,274.7,72113,Ponce,Ponce|Juana Diaz,72113|72075
00782,18.22501,-66.22452,Comerio,PR,Puerto Rico,18397,253.9,72045,Comerio,Comerio|Barranquitas,72045|72019
00783,18.30348,-66.32851,Corozal,PR,Puerto Rico,34266,314.2,72047,Corozal,Corozal|Barranquitas,72047|72019
00784,18.00558,-66.13651,Guayama,PR,Puerto Rico,35405,204.8,72057,Guayama,Guayama|Cayey|Patillas,72057|72035|72109
00786,18.1357,-66.22881,La Plata,PR,Puerto Rico,135,29.6,72009,Aibonito,Aibonito,72009
00791,18.14391,-65.81398,Humacao,PR,Puerto Rico,45912,415.8,72069,Humacao,Humacao|Las Piedras|Yabucoa,72069|72085|72151
00794,18.19934,-66.31179,Barranquitas,PR,Puerto Rico,28450,320.1,72019,Barranquitas,Barranquitas|Coamo,72019|72043
00795,18.05128,-66.49485,Juana Diaz,PR,Puerto Rico,43212,279.3,72075,Juana Diaz,Juana Diaz,72075
00802,18.34349,-64.9287,St Thomas,VI,Virgin Islands,,,78030,St. Thomas,St. Thomas,78030
00820,17.7388,-64.70695,Christiansted,VI,Virgin Islands,,,78010,St. Croix,St. Croix,78010
00830,18.33857,-64.73802,St John,VI,Virgin Islands,,,78020,St. John,St. John,78020
00840,17.72649,-64.84717,Frederiksted,VI,Virgin Islands,,,78010,St. Croix,St. Croix,78010
00850,17.72763,-64.79122,Kingshill,VI,Virgin Islands,,,78010,St. Croix,St. Croix,78010
00851,17.74757,-64.78737,Kingshill,VI,Virgin Islands,,,78010,St. Croix,St. Croix,78010
00901,18.46478,-66.10277,San Juan,PR,Puerto Rico,6762,2573,72127,San Juan,San Juan,72127
00906,18.46446,-66.09499,San Juan,PR,Puerto Rico,46,5577.8,72127,San Juan,San Juan,72127
00907,18.45287,-66.08381,San Juan,PR,Puerto Rico,15911,3006.8,72127,San Juan,San Juan,72127
00909,18.44131,-66.06866,San Juan,PR,Puerto Rico,5466,3232.5,72127,San Juan,San Juan,72127
00911,18.45133,-66.05636,San Juan,PR,Puerto Rico,7430,6028.4,72127,San Juan,San Juan,72127
00912,18.44503,-66.05995,San Juan,PR,Puerto Rico,6219,6474.9,72127,San Juan,San Juan,72127
00913,18.45024,-66.04275,San Juan,PR,Puerto Rico,6700,7984.8,72127,San Juan,San Juan,72127
00915,18.43673,-66.04576,San Juan,PR,Puerto Rico,24484,6743.9,72127,San Juan,San Juan,72127
00917,18.4208,-66.04989,San Juan,PR,Puerto Rico,18216,5151.5,72127,San Juan,San Juan,72127
00918,18.42139,-66.06774,San Juan,PR,Puerto Rico,16379,2344.1,72127,San Juan,San Juan,72127
00920,18.41904,-66.09023,San Juan,PR,Puerto Rico,16403,1754.5,72127,San Juan,San Juan,72127
00921,18.39206,-66.0871,San Juan,PR,Puerto Rico,34197,4302.4,72127,San Juan,San Juan|Guaynabo,72127|72061
